1||S||R|62000|0.11|30|62000|30|1000|2373.24|2373.24|62000|0|62000|||||||62000|62000|
2||T||A59|20000|0.11|48|20000|48|1000|516.9105|516.9105|20000|0|20000|||||||20000|20000|
3||M||N|148000|0.13|54|148000|54|1000|3634.5334|3634.5334|148000|0|148000|||||||148000|148000|
4||B||R|97000|0.08|48|97000|48|1000|2368.0535|2368.0535|97000|0|97000|||||||97000|97000|
5||S||A59|101000|0.1|30|101000|30|1000|3818.9524|3818.9524|101000|0|101000|||||||101000|101000|
6||B||A59|96000|0.11|48|96000|48|1000|2481.1702|2481.1702|96000|0|96000|||||||96000|96000|
7||M||A59|48000|0.17|36|48000|36|1000|1711.3309|1711.3309|48000|0|48000|||||||48000|48000|
8||S||A59|125000|0.18|18|125000|18|1000|7975.7227|7975.7227|125000|0|125000|||||||125000|125000|
9||T||R|9000|0.18|48|9000|48|1000|264.375|264.375|9000|0|9000|||||||9000|9000|
10||A||R|72000|0.09|48|72000|48|1000|1791.7231|1791.7231|72000|0|72000|||||||72000|72000|
11||A||R|26000|0.04|48|26000|48|1000|587.0554|587.0554|26000|0|26000|||||||26000|26000|
12||M||N|41000|0.15|30|41000|30|1000|1647.3203|1647.3203|41000|0|41000|||||||41000|41000|
13||S||N|87000|0.12|30|87000|30|1000|3371.0858|3371.0858|87000|0|87000|||||||87000|87000|
14||M||A59|143000|0.14|42|143000|42|1000|4326.2142|4326.2142|143000|0|143000|||||||143000|143000|
15||T||A59|122000|0.13|42|122000|42|1000|3630.9755|3630.9755|122000|0|122000|||||||122000|122000|
16||S||N|22000|0.13|12|22000|12|1000|1964.9801|1964.9801|22000|0|22000|||||||22000|22000|
17||A||R|14000|0.14|12|14000|12|1000|1257.0196|1257.0196|14000|0|14000|||||||14000|14000|
18||S||R|43000|0.06|36|43000|36|1000|1308.1433|1308.1433|43000|0|43000|||||||43000|43000|
19||S||A59|50000|0.05|42|50000|42|1000|1300.1516|1300.1516|50000|0|50000|||||||50000|50000|
20||S||A59|55000|0.16|30|55000|30|1000|2236.4145|2236.4145|55000|0|55000|||||||55000|55000|
21||S||N|36000|0.12|12|36000|12|1000|3198.5564|3198.5564|36000|0|36000|||||||36000|36000|
22||M||A59|143000|0.08|48|143000|48|1000|3491.0479|3491.0479|143000|0|143000|||||||143000|143000|
23||M||R|47000|0.07|12|47000|12|1000|4066.7571|4066.7571|47000|0|47000|||||||47000|47000|
24||B||N|51000|0.17|12|51000|12|1000|4651.4424|4651.4424|51000|0|51000|||||||51000|51000|
25||A||N|53000|0.04|60|53000|60|1000|976.0757|976.0757|53000|0|53000|||||||53000|53000|
26||T||A59|28000|0.08|36|28000|36|1000|877.4182|877.4182|28000|0|28000|||||||28000|28000|
27||S||N|147000|0.04|36|147000|36|1000|4340.0258|4340.0258|147000|0|147000|||||||147000|147000|
28||B||A59|4000|0.06|18|4000|18|1000|232.9269|232.9269|4000|0|4000|||||||4000|4000|
29||S||N|12000|0.15|60|12000|60|1000|285.4792|285.4792|12000|0|12000|||||||12000|12000|
30||B||N|91000|0.15|54|91000|54|1000|2327.5617|2327.5617|91000|0|91000|||||||91000|91000|
31||S||A59|23000|0.13|60|23000|60|1000|523.3207|523.3207|23000|0|23000|||||||23000|23000|
32||A||N|142000|0.05|42|142000|42|1000|3692.4307|3692.4307|142000|0|142000|||||||142000|142000|
33||S||N|54000|0.1|18|54000|18|1000|3243.0823|3243.0823|54000|0|54000|||||||54000|54000|
34||S||A59|140000|0.1|60|140000|60|1000|2974.5863|2974.5863|140000|0|140000|||||||140000|140000|
35||B||A59|11000|0.07|36|11000|36|1000|339.6481|339.6481|11000|0|11000|||||||11000|11000|
36||S||R|106000|0.08|60|106000|60|1000|2149.2978|2149.2978|106000|0|106000|||||||106000|106000|
37||M||N|94000|0.08|12|94000|12|1000|8176.9123|8176.9123|94000|0|94000|||||||94000|94000|
38||A||R|127000|0.05|30|127000|30|1000|4512.2293|4512.2293|127000|0|127000|||||||127000|127000|
39||A||A59|54000|0.05|36|54000|36|1000|1618.4284|1618.4284|54000|0|54000|||||||54000|54000|
40||M||N|79000|0.07|54|79000|54|1000|1709.6844|1709.6844|79000|0|79000|||||||79000|79000|
41||S||N|70000|0.15|36|70000|36|1000|2426.573|2426.573|70000|0|70000|||||||70000|70000|
42||A||A59|123000|0.14|60|123000|60|1000|2861.9949|2861.9949|123000|0|123000|||||||123000|123000|
43||S||R|96000|0.17|48|96000|48|1000|2770.0841|2770.0841|96000|0|96000|||||||96000|96000|
44||S||R|125000|0.05|30|125000|30|1000|4441.1705|4441.1705|125000|0|125000|||||||125000|125000|
45||T||R|5000|0.05|48|5000|48|1000|115.1465|115.1465|5000|0|5000|||||||5000|5000|
46||B||N|86000|0.04|42|86000|42|1000|2197.701|2197.701|86000|0|86000|||||||86000|86000|
47||T||N|40000|0.04|54|40000|54|1000|810.6369|810.6369|40000|0|40000|||||||40000|40000|
48||A||R|69000|0.12|60|69000|60|1000|1534.8669|1534.8669|69000|0|69000|||||||69000|69000|
