1||S||A59|33000|0.08|54|8.0|54|1000|729.7099|729.7099|33000|0|33000|||||||33000|33000|
2||T||A59|40000|0.18|42|18.0|42|1000|1290.5703|1290.5703|40000|0|40000|||||||40000|40000|
3||S||A59|83000|0.14|30|14.000000000000002|30|1000|3294.9641|3294.9641|83000|0|83000|||||||83000|83000|
4||B||A59|132000|0.06|12|6.0|12|1000|11360.7687|11360.7687|132000|0|132000|||||||132000|132000|
5||B||N|42000|0.1|60|10.0|60|1000|892.3759|892.3759|42000|0|42000|||||||42000|42000|
6||B||R|24000|0.07|54|7.000000000000001|54|1000|519.3978|519.3978|24000|0|24000|||||||24000|24000|
7||M||N|117000|0.04|18|4.0|18|1000|6707.774|6707.774|117000|0|117000|||||||117000|117000|
8||B||N|119000|0.12|24|12.0|24|1000|5601.7432|5601.7432|119000|0|119000|||||||119000|119000|
9||T||R|108000|0.04|42|4.0|42|1000|2759.9036|2759.9036|108000|0|108000|||||||108000|108000|
10||A||A59|38000|0.18|60|18.0|60|1000|964.9502|964.9502|38000|0|38000|||||||38000|38000|
11||B||R|129000|0.13|30|13.0|30|1000|5059.5799|5059.5799|129000|0|129000|||||||129000|129000|
12||B||N|10000|0.09|12|9.0|12|1000|874.5148|874.5148|10000|0|10000|||||||10000|10000|
13||S||R|137000|0.08|24|8.0|24|1000|6196.1389|6196.1389|137000|0|137000|||||||137000|137000|
14||A||N|104000|0.18|54|18.0|54|1000|2823.7436|2823.7436|104000|0|104000|||||||104000|104000|
15||S||A59|42000|0.07|60|7.000000000000001|60|1000|831.6503|831.6503|42000|0|42000|||||||42000|42000|
16||T||R|101000|0.17|54|17.0|54|1000|2688.7207|2688.7207|101000|0|101000|||||||101000|101000|
17||A||R|38000|0.15|36|15.0|36|1000|1317.2825|1317.2825|38000|0|38000|||||||38000|38000|
18||A||R|23000|0.07|12|7.000000000000001|12|1000|1990.1152|1990.1152|23000|0|23000|||||||23000|23000|
19||M||N|1000|0.07|60|7.000000000000001|60|1000|19.8012|19.8012|1000|0|1000|||||||1000|1000|
20||A||R|57000|0.15|36|15.0|36|1000|1975.9237|1975.9237|57000|0|57000|||||||57000|57000|
21||T||R|49000|0.07|48|7.000000000000001|48|1000|1173.366|1173.366|49000|0|49000|||||||49000|49000|
22||A||N|103000|0.11|18|11.0|18|1000|6233.4099|6233.4099|103000|0|103000|||||||103000|103000|
23||M||R|19000|0.11|48|11.0|48|1000|491.0649|491.0649|19000|0|19000|||||||19000|19000|
24||S||R|56000|0.17|18|17.0|18|1000|3546.4853|3546.4853|56000|0|56000|||||||56000|56000|
25||B||A59|146000|0.13|24|13.0|24|1000|6941.1061|6941.1061|146000|0|146000|||||||146000|146000|
26||A||N|142000|0.18|36|18.0|36|1000|5133.6402|5133.6402|142000|0|142000|||||||142000|142000|
27||M||A59|124000|0.15|18|15.0|18|1000|7735.7136|7735.7136|124000|0|124000|||||||124000|124000|
28||A||A59|24000|0.14|36|14.000000000000002|36|1000|820.2631|820.2631|24000|0|24000|||||||24000|24000|
29||S||N|55000|0.17|30|17.0|30|1000|2263.1932|2263.1932|55000|0|55000|||||||55000|55000|
30||M||R|125000|0.04|42|4.0|42|1000|3194.3328|3194.3328|125000|0|125000|||||||125000|125000|
31||T||R|124000|0.07|12|7.000000000000001|12|1000|10729.3165|10729.3165|124000|0|124000|||||||124000|124000|
32||A||R|82000|0.13|36|13.0|36|1000|2762.9041|2762.9041|82000|0|82000|||||||82000|82000|
33||M||R|73000|0.11|48|11.0|48|1000|1886.7232|1886.7232|73000|0|73000|||||||73000|73000|
34||B||A59|46000|0.11|42|11.0|42|1000|1324.5176|1324.5176|46000|0|46000|||||||46000|46000|
35||S||A59|147000|0.1|12|10.0|12|1000|12923.6354|12923.6354|147000|0|147000|||||||147000|147000|
